,feature_importance
orange bitters,0.0
matcha,0.0
pesto,0.0
rose water,0.0
sardines,0.0
tequila,0.0
hibiscus,0.0
okra,0.0
miso,0.0
white grape juice,0.0
fresh lavender,0.0
korean bbq marinade,0.0
bottle gourd,0.0
sprouts,0.0
grand marnier,0.0
eggnog,0.0
escarole,0.0
cassava,0.0
radicchio,0.0
chili garlic sauce,0.0
moscato,0.0
lemon pepper,0.0
paneer,0.0
squash blossoms,0.0
balsamic,0.0
sweet chili sauce,0.0
lentils,0.0
caramel sauce,0.0
grits,0.0
kale,0.0
beer,0.0
cardomom,0.0
asparagus,0.0
capers,0.0
petite peas,0.0
agave,0.0
masala,0.0
watermelon,0.0
tofu,0.0
artichoke,0.0
plantain,0.0
apricot,0.0
canned pumpkin,0.0
brussels sprouts,0.0
beets,0.0
peach,0.0
grapes,0.0
fish sauce,0.0
winter squash,0.0
flaxseed,0.0
sesame seeds,0.0
worcestershire sauce,0.0
berries,0.0
honey,0.0
wine,0.0
bay leaves,0.0
paprika,0.0
rosemary,0.0
pineapple,0.0
peanut butter,0.0
cherry,0.0
italian cured meat,0.0
curry,0.0
summer squash,0.0
pear,0.0
chickpea,0.0
broccoli,0.0
grain,0.0
dates,0.0
raisin,0.0
couscous,0.0
seedsarugula,0.0
hollandaise sauce,0.0
tarragon,0.0
marsala,0.0
herbes de provence,0.0
port,0.0
dulce de leche,0.0
fig,0.0
yam,0.0
chinese five spice,0.0
arrowroot,0.0
amaretto liqueur,0.0
water chestnuts,0.0
bran,0.0
quail,0.0
pita,0.0
whiskey,0.0
legumes,0.0
gochujang,0.0
xylitol,0.0
farro,0.0
mexican crema,0.0
maple,0.0
celery seed,0.0
mexican cheese,0.0
hazelnuts,0.0
leek,0.0
marjoram,0.0
oats,0.0
brie,0.0
purple plum,0.0
peppermint extract,0.0
sunflower kernels,0.0
polenta,0.0
tahini,0.0
creme fraiche,0.0
pumpkin pie spice,0.0
poppy seeds,0.0
horseradish,0.0
teriyaki sauce,0.0
apple juice,0.0
parsnip,0.0
blackeyed peas,0.0
hoisin sauce,0.0
jicama,0.0
